Id_comercio,Fecha de creacion comercio,Fecha 1ra_transaccion,Categoria comercio,Sub Categoria comercio,Ciudad,cant_terminales,Monto ventas Acumulado,Monto ventas ultimo mes,meses_antiguedad_creacion_comercio,meses_antiguedad_transacciones,transacciones_6m,meses_activos,ultima_actividad,transacciones_ultimo_mes,transacciones_por_mes_activo,recencia,M_score,F_score,R_score,RFM_score,segmento_rfm
09BZY6KN5E,2021-03-09 13:13:00,2021-03-09 13:22:00,Comercio detallista,Ropa / Accesorios,Bogotá  D.C.,1,3878000,0,2,2.0,32,2,2021-04-01,0,16.0,1,4,5,4,4.333333333333333,Alto valor
0AAKONZD03,2021-03-16 15:35:00,2021-03-16 15:46:00,Alimentos y bebidas,Restaurante / Café,Cota,1,1383800,287550,2,2.0,27,3,2021-05-01,15,9.0,0,3,4,5,4.0,Estándar
0AMAEK8YCJ,2021-03-06 18:28:00,2021-03-06 18:40:00,Comercio detallista,Muebles / Decoración,Bogotá  D.C.,1,3702000,0,2,2.0,4,1,2021-03-01,0,4.0,2,4,2,3,3.0,Estándar
0B5X8PJ0E3,2021-03-23 17:43:00,2021-03-27 12:37:00,Comercio detallista,Ropa / Accesorios,Bogotá  D.C.,1,4134000,595000,2,2.0,28,3,2021-05-01,18,9.333333333333334,0,4,4,5,4.333333333333333,Alto valor
0BY8U7KCBS,2021-01-13 12:06:00,2021-01-13 12:44:00,Comercio detallista,Muebles / Decoración,Soacha,1,13315005,0,4,4.0,22,5,2021-05-01,1,4.4,0,5,4,5,4.666666666666667,Alto valor
0CSUDOGURX,2021-03-23 12:37:00,2021-03-23 12:54:00,Comercio detallista,Venta de bicicletas y accesorios,Bogotá  D.C.,1,5750850,360750,2,2.0,21,3,2021-05-01,10,7.0,0,4,4,5,4.333333333333333,Alto valor
0DGJFZLOWI,2021-02-03 15:04:00,2021-02-03 15:17:00,Alimentos y bebidas,Abarrotes / Mercado,Bogotá  D.C.,1,854500,55000,3,3.0,30,4,2021-05-01,10,7.5,0,2,5,5,4.0,Estándar
0DT7B70GHI,2020-12-09 14:51:00,2020-12-09 14:57:00,Servicios,Otro,Bogotá  D.C.,1,3302000,0,5,5.0,3,1,2020-12-01,0,3.0,5,4,1,1,2.0,Estándar
0DXWUKY4BR,2021-02-19 16:25:00,2021-02-19 16:33:00,Comercio detallista,Óptica,Bogotá  D.C.,1,10387000,1545000,3,3.0,23,4,2021-05-01,6,5.75,0,5,4,5,4.666666666666667,Alto valor
0E4AAVCEUB,2021-03-25 09:55:00,2021-03-25 10:11:00,Servicios,Carpintería,Bogotá  D.C.,1,952000,0,2,2.0,3,1,2021-03-01,0,3.0,2,2,1,3,2.0,Estándar
0EHHJL2T2B,2021-03-25 14:10:00,2021-03-25 14:40:00,Comercio detallista,Materiales de construcción,Bogotá  D.C.,1,36600,0,2,2.0,2,2,2021-04-01,0,1.0,1,1,1,4,2.0,Nuevos o bajo desarrollo
0ENZT1J0PS,2021-02-04 12:04:00,2021-02-04 12:29:00,Belleza y cuidado personal,Distribuidora,Bogotá  D.C.,1,1357500,299300,3,3.0,30,4,2021-05-01,9,7.5,0,3,5,5,4.333333333333333,Estándar
0FC0D0YX31,2021-03-11 10:22:00,2021-03-11 10:33:00,Comercio detallista,Maquinaria,Bogotá  D.C.,1,2000,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
0FF11T68EV,2021-03-10 12:07:00,2021-03-10 12:17:00,Comercio detallista,Materiales de construcción,Fusagasugá,1,2000,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
0FHL1TQB2S,2021-03-15 16:02:00,2021-03-15 16:13:00,Alimentos y bebidas,Comida rápida,Bogotá  D.C.,1,1032900,114100,2,2.0,25,3,2021-05-01,9,8.333333333333334,0,3,4,5,4.0,Estándar
0FNDKBYYVG,2021-02-16 19:05:00,2021-02-17 21:01:00,Belleza y cuidado personal,Salón de belleza,Bogotá  D.C.,1,455000,0,3,3.0,4,2,2021-03-01,0,2.0,2,2,2,3,2.3333333333333335,Estándar
0FTPK27J7W,2021-03-12 15:15:00,2021-03-12 15:37:00,Comercio detallista,Ropa / Accesorios,Bogotá  D.C.,1,1354000,598000,2,2.0,11,2,2021-05-01,6,5.5,0,3,3,5,3.6666666666666665,Estándar
0G4Y78FE5B,2021-03-18 10:48:00,2021-03-18 11:04:00,Comercio detallista,Joyería,Fusagasugá,1,1252000,1250000,2,2.0,1,1,2021-03-01,0,1.0,2,3,1,3,2.3333333333333335,Estándar
0G5NDR3BB6,2021-03-18 15:05:00,2021-03-18 15:15:00,Comercio detallista,Óptica,Bogotá  D.C.,1,1371000,30000,2,2.0,7,3,2021-05-01,2,2.3333333333333335,0,3,2,5,3.3333333333333335,Estándar
0GU0J2GTME,2021-03-18 11:20:00,2021-03-18 11:50:00,Comercio detallista,Materiales de construcción,Bogotá  D.C.,1,380780,0,2,2.0,4,3,2021-05-01,1,1.3333333333333333,0,2,2,5,3.0,Nuevos o bajo desarrollo
0H3X50NI9Z,2021-03-05 16:16:00,2021-03-05 16:26:00,Servicios,Otro,Bogotá  D.C.,1,616000,0,2,2.0,6,2,2021-05-01,2,3.0,0,2,2,5,3.0,Nuevos o bajo desarrollo
0HB9TIG7HU,2021-03-16 14:12:00,2021-03-16 15:01:00,Comercio detallista,Óptica,Bogotá  D.C.,1,4897000,860000,2,2.0,12,3,2021-05-01,2,4.0,0,4,3,5,4.0,Estándar
0HOVMSFJGN,2020-12-14 15:34:00,2020-12-14 15:51:00,Alimentos y bebidas,Comida rápida,Bogotá  D.C.,1,46900,0,5,5.0,4,2,2021-01-01,0,2.0,4,1,2,1,1.3333333333333333,Baja actividad
0I6J5ONJRV,2021-03-16 10:19:00,2021-03-16 10:34:00,Comercio detallista,Joyería,Chía,1,2000,0,2,2.0,2,1,2021-03-01,0,2.0,2,1,1,3,1.6666666666666667,Estándar
0IJ37XWUHM,2021-03-24 12:44:00,2021-03-24 13:00:00,Comercio detallista,Tecnología,Cali,1,2000,0,2,2.0,2,1,2021-03-01,0,2.0,2,1,1,3,1.6666666666666667,Estándar
0IK1SWZ556,2021-03-24 10:07:00,2021-03-24 10:53:00,Transporte,Servicio especial,Bogotá  D.C.,1,170200,22000,2,2.0,3,2,2021-04-01,0,1.5,1,2,1,4,2.3333333333333335,Nuevos o bajo desarrollo
0IKBM9ST4Y,2021-03-12 16:24:00,2021-03-12 16:35:00,Belleza y cuidado personal,Salón de belleza,Bogotá  D.C.,1,345400,57400,2,2.0,8,3,2021-05-01,1,2.6666666666666665,0,2,3,5,3.3333333333333335,Estándar
0IODSP7LZM,2021-02-01 21:20:00,2021-02-01 21:35:00,Reparación y limpieza,Limpieza del hogar,Soacha,1,92000,0,3,3.0,2,1,2021-02-01,0,2.0,3,1,1,2,1.3333333333333333,Baja actividad
0JA0L0GSES,2021-03-13 19:12:00,2021-03-13 19:20:00,Comercio detallista,Joyería,Funza,1,67000,0,2,2.0,2,1,2021-03-01,0,2.0,2,1,1,3,1.6666666666666667,Estándar
0JIWIWKDFN,2021-03-11 15:47:00,2021-03-11 16:01:00,Belleza y cuidado personal,Salón de belleza,Bogotá  D.C.,1,395000,0,2,2.0,4,1,2021-03-01,0,4.0,2,2,2,3,2.3333333333333335,Estándar
0JPM8XWDEB,2021-03-05 17:24:00,2021-03-05 17:36:00,Comercio detallista,Óptica,Bogotá  D.C.,1,1502000,0,2,2.0,7,3,2021-05-01,2,2.3333333333333335,0,3,2,5,3.3333333333333335,Estándar
0K1UO3JRIC,2021-03-01 18:43:00,2021-03-01 18:55:00,Comercio detallista,Auto partes,Bogotá  D.C.,1,2651000,0,2,2.0,14,3,2021-05-01,4,4.666666666666667,0,4,3,5,4.0,Estándar
0KWCDP63O8,2021-01-20 14:24:00,2021-01-20 14:36:00,Comercio detallista,Óptica,Bogotá  D.C.,1,5422000,790000,4,4.0,21,5,2021-05-01,8,4.2,0,4,4,5,4.333333333333333,Alto valor
0LJJAGI2AJ,2021-03-11 15:31:00,2021-03-11 15:38:00,Comercio detallista,Tecnología,Bogotá  D.C.,1,3166600,316000,2,2.0,19,3,2021-05-01,4,6.333333333333333,0,4,4,5,4.333333333333333,Alto valor
0MGPBZHLHG,2020-12-07 15:51:00,2020-12-07 16:04:00,Belleza y cuidado personal,Otro,Bogotá  D.C.,1,2000,0,5,5.0,1,1,2020-12-01,0,1.0,5,1,1,1,1.0,Baja actividad
0MW72KB3P3,2021-03-17 13:09:00,2021-03-17 13:18:00,Belleza y cuidado personal,Distribuidora,Bogotá  D.C.,1,3523750,0,2,2.0,47,3,2021-05-01,15,15.666666666666666,0,4,5,5,4.666666666666667,Alto valor
0N7O44LYZC,2020-12-20 21:39:00,2020-12-20 21:56:00,Comercio detallista,Muebles / Decoración,Bogotá  D.C.,1,2000,0,5,5.0,1,1,2020-12-01,0,1.0,5,1,1,1,1.0,Baja actividad
0NCW4BV0QP,2021-03-27 10:46:00,2021-03-27 10:53:00,Comercio detallista,Ropa / Accesorios,Bogotá  D.C.,1,556000,148000,2,2.0,5,3,2021-05-01,1,1.6666666666666667,0,2,2,5,3.0,Nuevos o bajo desarrollo
0P24STA4HM,2021-03-19 10:23:00,2021-03-19 10:37:00,Comercio detallista,Auto partes,Bogotá  D.C.,1,908610,43000,2,2.0,6,3,2021-05-01,2,2.0,0,2,2,5,3.0,Nuevos o bajo desarrollo
0P357K5CIU,2021-03-13 12:19:00,2021-03-13 12:32:00,Comercio detallista,Materiales de construcción,Bogotá  D.C.,1,1063500,77800,2,2.0,20,3,2021-05-01,7,6.666666666666667,0,3,4,5,4.0,Estándar
0PFA0XM1DV,2021-03-24 19:11:00,2021-03-24 19:28:00,Servicios,Medicina / Odontología,Cajicá,1,2000,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
0PN6MFSFC6,2021-03-11 17:27:00,2021-03-11 17:56:00,Comercio detallista,Tecnología,Bogotá  D.C.,1,1834400,335000,2,2.0,26,3,2021-05-01,8,8.666666666666666,0,3,4,5,4.0,Estándar
0PTFQVKSQS,2021-03-04 07:57:00,2021-03-04 08:20:00,Transporte,Servicio especial,Cali,1,21921280,8861780,2,2.0,49,3,2021-05-01,21,16.333333333333332,0,5,5,5,5.0,Alto valor
0Q8I9IQYLP,2021-03-24 12:11:00,2021-03-24 21:44:00,Alimentos y bebidas,Restaurante / Café,Bogotá  D.C.,1,83000,0,2,2.0,3,2,2021-04-01,0,1.5,1,1,1,4,2.0,Nuevos o bajo desarrollo
0QAFIPZDVG,2021-02-03 21:33:00,2021-02-03 22:23:00,Comercio detallista,Libros / Papelería,Bogotá  D.C.,1,569150,0,3,3.0,3,2,2021-04-01,0,1.5,1,2,1,4,2.3333333333333335,Nuevos o bajo desarrollo
0QWT5VZ8K4,2021-03-12 14:55:00,2021-03-12 15:03:00,Comercio detallista,Juguetería / Piñatería,Bogotá  D.C.,1,1127400,0,2,2.0,20,3,2021-05-01,6,6.666666666666667,0,3,4,5,4.0,Estándar
0R5JCPUBX5,2021-03-10 15:49:00,2021-03-10 16:09:00,Reparación y limpieza,Moda / Zapatería,Bogotá  D.C.,1,629950,113800,2,2.0,7,2,2021-05-01,1,3.5,0,2,2,5,3.0,Nuevos o bajo desarrollo
0RONJIRS7A,2021-03-25 14:03:00,2021-03-25 14:15:00,Comercio detallista,Ropa / Accesorios,Bogotá  D.C.,1,512000,0,2,2.0,3,1,2021-03-01,0,3.0,2,2,1,3,2.0,Estándar
0RWB4NMYHV,2021-03-10 15:22:00,2021-03-10 15:37:00,Comercio detallista,Elementos de seguridad,Bogotá  D.C.,1,6338960,2112360,2,2.0,24,3,2021-05-01,2,8.0,0,5,4,5,4.666666666666667,Alto valor
0S0DQUXKIP,2021-03-24 09:13:00,2021-03-24 09:27:00,Servicios,Otro,Bogotá  D.C.,1,910000,388000,2,2.0,1,1,2021-03-01,0,1.0,2,2,1,3,2.0,Estándar
0S3S0LVWIY,2021-03-26 10:54:00,2021-03-26 11:06:00,Comercio detallista,Mascotas,Bogotá  D.C.,1,3081000,1052000,2,2.0,13,3,2021-05-01,8,4.333333333333333,0,4,3,5,4.0,Estándar
0T1D7C0AUF,2021-03-20 09:47:00,2021-03-20 10:15:00,Comercio detallista,Ropa / Accesorios,Cali,1,100000,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
0TPBWIAGDR,2021-03-12 19:14:00,2021-03-13 11:26:00,Comercio detallista,Materiales de construcción,Bogotá  D.C.,1,1355300,178300,2,2.0,16,3,2021-05-01,10,5.333333333333333,0,3,4,5,4.0,Estándar
0UE0G86TAF,2020-12-10 17:58:00,2020-12-10 19:58:00,Servicios,Otro,Bogotá  D.C.,1,6045000,120000,5,5.0,18,6,2021-05-01,2,3.0,0,4,4,5,4.333333333333333,Alto valor
0VDKOUYDG5,2021-03-01 16:45:00,2021-03-01 16:55:00,Comercio detallista,Óptica,Bogotá  D.C.,1,457000,0,2,2.0,2,1,2021-03-01,0,2.0,2,2,1,3,2.0,Estándar
0VLU2MNKP7,2020-12-18 09:34:00,2020-12-18 09:51:00,Servicios,Otro,Melgar,1,862400,0,5,5.0,16,5,2021-05-01,4,3.2,0,2,4,5,3.6666666666666665,Estándar
0W9VH51YJN,2021-03-15 19:03:00,2021-03-15 19:15:00,Reparación y limpieza,Reparaciones locativas,Bogotá  D.C.,1,2000,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
0WBFHL42RM,2021-03-08 12:16:00,2021-03-08 12:35:00,Comercio detallista,Tecnología,Bogotá  D.C.,1,430000,198000,2,2.0,7,3,2021-05-01,1,2.3333333333333335,0,2,2,5,3.0,Nuevos o bajo desarrollo
0X3B5RBSL1,2021-02-09 13:27:00,2021-02-09 13:35:00,Comercio detallista,Óptica,Bogotá  D.C.,1,3000,0,3,3.0,2,1,2021-02-01,0,2.0,3,1,1,2,1.3333333333333333,Baja actividad
0X90G1JAAC,2021-03-05 17:22:00,2021-03-05 17:30:00,Comercio detallista,Óptica,Bogotá  D.C.,1,4000,0,2,2.0,2,1,2021-03-01,0,2.0,2,1,1,3,1.6666666666666667,Estándar
0XCPFFNN30,2020-12-18 14:16:00,2020-12-18 14:27:00,Comercio detallista,Óptica,Bogotá  D.C.,1,2422000,550000,5,5.0,8,4,2021-03-01,0,2.0,2,3,3,3,3.0,Estándar
0XM9ZQXRYX,2021-03-21 14:22:00,2021-03-21 14:40:00,Turismo y entretenimiento,Hoteles,Choachí,1,1595500,387000,2,2.0,21,3,2021-05-01,7,7.0,0,3,4,5,4.0,Estándar
0YNDKGAXNL,2021-02-01 12:52:00,2021-02-01 13:01:00,Comercio detallista,Óptica,Bogotá  D.C.,1,44343000,5827000,3,3.0,132,4,2021-05-01,30,33.0,0,5,5,5,5.0,Alto valor
0YZ3QOS93E,2021-03-08 15:27:00,2021-03-08 15:47:00,Comercio detallista,Café internet,Funza,1,3000,0,2,2.0,2,1,2021-03-01,0,2.0,2,1,1,3,1.6666666666666667,Estándar
0ZL8ZVUXOP,2021-03-18 12:40:00,2021-03-18 12:53:00,Comercio detallista,Libros / Papelería,Bogotá  D.C.,1,2629700,321700,2,2.0,66,3,2021-05-01,31,22.0,0,4,5,5,4.666666666666667,Alto valor
0ZT6F19K0Q,2021-03-12 18:27:00,2021-03-12 18:49:00,Servicios,Medicina / Odontología,Cali,1,94000,0,2,2.0,3,3,2021-05-01,1,1.0,0,1,1,5,2.3333333333333335,Nuevos o bajo desarrollo
104D16C02Q,2021-03-12 16:28:00,2021-03-12 16:48:00,Alimentos y bebidas,Abarrotes / Mercado,Bogotá  D.C.,1,3896300,543550,2,2.0,111,3,2021-05-01,56,37.0,0,4,5,5,4.666666666666667,Alto valor
10M75FFVOG,2021-02-04 15:24:00,2021-02-04 15:42:00,Comercio detallista,Óptica,Bogotá  D.C.,1,5113000,587000,3,3.0,17,4,2021-05-01,2,4.25,0,4,4,5,4.333333333333333,Alto valor
10RSZJTDBD,2021-02-17 15:15:00,2021-02-17 15:27:00,Belleza y cuidado personal,Centro de tatuajes,Bogotá  D.C.,1,12455500,0,3,3.0,28,4,2021-05-01,1,7.0,0,5,4,5,4.666666666666667,Alto valor
1149FP2AIW,2021-03-10 15:18:00,2021-03-10 15:29:00,Comercio detallista,Tecnología,Bogotá  D.C.,1,617000,0,2,2.0,6,2,2021-04-01,0,3.0,1,2,2,4,2.6666666666666665,Nuevos o bajo desarrollo
11V4VMOMO1,2020-12-16 12:27:00,2020-12-16 12:50:00,Turismo y entretenimiento,Centro de recreación y deporte,Bogotá  D.C.,1,2000,0,5,5.0,1,1,2020-12-01,0,1.0,5,1,1,1,1.0,Baja actividad
126JEYCDHF,2021-03-19 15:40:00,2021-03-19 15:54:00,Alimentos y bebidas,Restaurante / Café,Chía,1,804350,94000,2,2.0,25,3,2021-05-01,11,8.333333333333334,0,2,4,5,3.6666666666666665,Estándar
12VM871I0S,2021-03-17 17:46:00,2021-03-17 18:05:00,Alimentos y bebidas,Abarrotes / Mercado,Cali,1,1100,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
13C57ZLYB2,2021-03-30 12:21:00,2021-03-30 12:31:00,Alimentos y bebidas,Abarrotes / Mercado,Bogotá  D.C.,1,2945900,691600,2,2.0,43,3,2021-05-01,27,14.333333333333334,0,4,5,5,4.666666666666667,Alto valor
14BLS7RWUM,2021-03-26 12:52:00,2021-03-26 13:05:00,Comercio detallista,Óptica,Bogotá  D.C.,1,2801000,680000,2,2.0,8,3,2021-05-01,5,2.6666666666666665,0,4,3,5,4.0,Estándar
151OFC9R4A,2021-02-13 11:33:00,2021-02-13 15:51:00,Comercio detallista,Óptica,Bogotá  D.C.,1,2719000,550000,3,3.0,7,4,2021-05-01,1,1.75,0,4,2,5,3.6666666666666665,Estándar
15VSQZS9OS,2021-02-05 20:30:00,2021-02-05 20:42:00,Alimentos y bebidas,Comida rápida,Bogotá  D.C.,2,5134400,1133800,3,3.0,150,4,2021-05-01,77,37.5,0,4,5,5,4.666666666666667,Alto valor
165E10R73Z,2021-03-24 13:09:00,2021-03-24 13:26:00,Alimentos y bebidas,Abarrotes / Mercado,Chía,1,422575,122685,2,2.0,5,3,2021-05-01,3,1.6666666666666667,0,2,2,5,3.0,Nuevos o bajo desarrollo
16E4UZL9KM,2021-03-15 15:20:00,2021-03-15 15:34:00,Comercio detallista,Auto partes,Bogotá  D.C.,1,1890500,200000,2,2.0,5,3,2021-05-01,1,1.6666666666666667,0,3,2,5,3.3333333333333335,Estándar
16I7T9HCDI,2021-03-01 14:55:00,2021-03-01 15:12:00,Transporte,Taxi,Cali,1,1000,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
16LK63O4BJ,2021-03-29 17:39:00,2021-03-29 17:50:00,Comercio detallista,Ropa / Accesorios,Bogotá  D.C.,1,116000,45000,2,2.0,2,2,2021-04-01,0,1.0,1,1,1,4,2.0,Nuevos o bajo desarrollo
175ORGTF37,2021-03-08 17:15:00,2021-03-08 17:22:00,Reparación y limpieza,Moda / Zapatería,Bogotá  D.C.,1,140000,0,2,2.0,2,1,2021-03-01,0,2.0,2,1,1,3,1.6666666666666667,Estándar
17KC0BBP0G,2021-03-16 18:00:00,2021-03-16 18:13:00,Alimentos y bebidas,Repostería / Panadería,El Rosal,1,951400,133700,2,2.0,32,3,2021-05-01,13,10.666666666666666,0,2,5,5,4.0,Estándar
17PZ2RWF0H,2021-01-25 16:35:00,2021-01-25 16:45:00,Belleza y cuidado personal,Centro de tatuajes,Bogotá  D.C.,1,1977000,82000,4,4.0,33,5,2021-05-01,5,6.6,0,3,5,5,4.333333333333333,Estándar
17QW4XKO6B,2021-01-20 15:52:00,2021-01-20 16:22:00,Comercio detallista,Óptica,Bogotá  D.C.,1,3002000,720000,4,4.0,9,5,2021-05-01,1,1.8,0,4,3,5,4.0,Estándar
17SB9B1ARV,2021-03-18 13:56:00,2021-03-18 14:06:00,Reparación y limpieza,Automotriz y autopartes,Bogotá  D.C.,1,4952000,400000,2,2.0,3,2,2021-04-01,0,1.5,1,4,1,4,3.0,Estándar
1810KYE17R,2021-03-20 06:01:00,2021-03-20 06:12:00,Transporte,Servicio especial,Bogotá  D.C.,1,76000,0,2,2.0,3,2,2021-05-01,1,1.5,0,1,1,5,2.3333333333333335,Nuevos o bajo desarrollo
181A3JZR4S,2021-02-23 13:36:00,2021-02-23 13:45:00,Servicios,Tecnología y software,Bogotá  D.C.,1,5651000,367000,3,3.0,10,4,2021-05-01,2,2.5,0,4,3,5,4.0,Estándar
18HT52YQE2,2021-03-30 15:41:00,2021-03-30 15:52:00,Comercio detallista,Ropa / Accesorios,Bogotá  D.C.,1,607500,208500,2,2.0,5,2,2021-05-01,4,2.5,0,2,2,5,3.0,Nuevos o bajo desarrollo
18KWFU13B7,2021-03-23 12:52:00,2021-03-23 13:02:00,Comercio detallista,Ropa / Accesorios,Bogotá  D.C.,1,5412700,768800,2,2.0,24,3,2021-05-01,15,8.0,0,4,4,5,4.333333333333333,Alto valor
18QMUN3GL9,2021-02-18 11:55:00,2021-02-18 12:05:00,Servicios,Otro,Bogotá  D.C.,1,826000,79000,3,3.0,8,3,2021-05-01,1,2.6666666666666665,0,2,3,5,3.3333333333333335,Estándar
1A29XH7F6M,2021-03-13 12:02:00,2021-03-13 15:48:00,Comercio detallista,Elementos del hogar,Mosquera,1,1138000,0,2,2.0,2,1,2021-03-01,0,2.0,2,3,1,3,2.3333333333333335,Estándar
1ACZQ0HGAJ,2021-02-19 19:48:00,2021-02-19 21:46:00,Alimentos y bebidas,Abarrotes / Mercado,Bogotá  D.C.,1,3986600,295300,3,3.0,131,4,2021-05-01,40,32.75,0,4,5,5,4.666666666666667,Alto valor
1AGM7ZJ1RD,2021-03-02 15:58:00,2021-03-02 16:17:00,Comercio detallista,Otro,Bogotá  D.C.,1,298000,0,2,2.0,3,3,2021-05-01,1,1.0,0,2,1,5,2.6666666666666665,Nuevos o bajo desarrollo
1AIPRY67PX,2020-07-27 16:11:00,2020-12-23 10:44:00,Transporte,Domicilios,Bogotá  D.C.,1,150000,15000,10,5.0,141,3,2021-02-01,0,47.0,3,1,5,2,2.6666666666666665,Estándar
1AWSOXNEI7,2021-03-11 15:49:00,2021-03-31 13:06:00,Comercio detallista,Óptica,Bogotá  D.C.,1,330000,0,2,2.0,2,1,2021-03-01,0,2.0,2,2,1,3,2.0,Estándar
1BLOO4YPSN,2021-03-23 19:07:00,2021-03-23 19:26:00,Comercio detallista,Tecnología,Bogotá  D.C.,1,1618800,195550,2,2.0,10,3,2021-05-01,4,3.3333333333333335,0,3,3,5,3.6666666666666665,Estándar
